------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 53642 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/66566)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-0.5000 sec  1.50 MBytes  25.2 Mbits/sec
[  1] 0.5000-1.0000 sec  2.25 MBytes  37.7 Mbits/sec
[  1] 1.0000-1.5000 sec  2.25 MBytes  37.7 Mbits/sec
[  1] 1.5000-2.0000 sec  2.62 MBytes  44.0 Mbits/sec
[  1] 2.0000-2.5000 sec  2.50 MBytes  41.9 Mbits/sec
[  1] 2.5000-3.0000 sec  2.00 MBytes  33.6 Mbits/sec
[  1] 3.0000-3.5000 sec  1.12 MBytes  18.9 Mbits/sec
[  1] 3.5000-4.0000 sec   896 KBytes  14.7 Mbits/sec
[  1] 4.0000-4.5000 sec   920 KBytes  15.1 Mbits/sec
[  1] 4.5000-5.0000 sec   891 KBytes  14.6 Mbits/sec
[  1] 5.0000-5.5000 sec   636 KBytes  10.4 Mbits/sec
[  1] 5.5000-6.0000 sec   700 KBytes  11.5 Mbits/sec
[  1] 6.0000-6.5000 sec   764 KBytes  12.5 Mbits/sec
[  1] 6.5000-7.0000 sec   699 KBytes  11.5 Mbits/sec
[  1] 7.0000-7.5000 sec   764 KBytes  12.5 Mbits/sec
[  1] 7.5000-8.0000 sec   892 KBytes  14.6 Mbits/sec
[  1] 8.0000-8.5000 sec  1.12 MBytes  18.8 Mbits/sec
[  1] 8.5000-9.0000 sec   954 KBytes  15.6 Mbits/sec
[  1] 9.0000-9.5000 sec   573 KBytes  9.38 Mbits/sec
[  1] 9.5000-10.0000 sec  1.30 MBytes  21.9 Mbits/sec
[  1] 10.0000-10.5000 sec  1.55 MBytes  26.1 Mbits/sec
[  1] 10.5000-11.0000 sec  1.49 MBytes  25.0 Mbits/sec
[  1] 11.0000-11.5000 sec  1.99 MBytes  33.4 Mbits/sec
[  1] 11.5000-12.0000 sec  2.30 MBytes  38.6 Mbits/sec
[  1] 12.0000-12.5000 sec  2.55 MBytes  42.8 Mbits/sec
[  1] 12.5000-13.0000 sec  2.80 MBytes  46.9 Mbits/sec
[  1] 13.0000-13.5000 sec  1.43 MBytes  24.0 Mbits/sec
[  1] 13.5000-14.0000 sec  3.17 MBytes  53.2 Mbits/sec
[  1] 14.0000-14.5000 sec  3.17 MBytes  53.2 Mbits/sec
[  1] 14.5000-15.0000 sec  3.73 MBytes  62.6 Mbits/sec
[  1] 15.0000-15.5000 sec  3.60 MBytes  60.5 Mbits/sec
[  1] 15.5000-16.0000 sec  4.41 MBytes  74.0 Mbits/sec
[  1] 16.0000-16.5000 sec  2.43 MBytes  40.7 Mbits/sec
[  1] 16.5000-17.0000 sec  4.10 MBytes  68.8 Mbits/sec
[  1] 17.0000-17.5000 sec  5.35 MBytes  89.7 Mbits/sec
[  1] 17.5000-18.0000 sec  3.23 MBytes  54.1 Mbits/sec
[  1] 18.0000-18.5000 sec  2.92 MBytes  49.0 Mbits/sec
[  1] 18.5000-19.0000 sec  4.73 MBytes  79.4 Mbits/sec
[  1] 19.0000-19.5000 sec  4.66 MBytes  78.2 Mbits/sec
[  1] 19.5000-20.0000 sec  4.97 MBytes  83.3 Mbits/sec
[  1] 20.0000-20.5000 sec  3.24 MBytes  54.3 Mbits/sec
[  1] 20.5000-21.0000 sec  5.78 MBytes  96.9 Mbits/sec
[  1] 21.0000-21.5000 sec  6.84 MBytes   115 Mbits/sec
[  1] 21.5000-22.0000 sec  6.46 MBytes   108 Mbits/sec
[  1] 22.0000-22.5000 sec  6.40 MBytes   107 Mbits/sec
[  1] 22.5000-23.0000 sec  4.84 MBytes  81.2 Mbits/sec
[  1] 23.0000-23.5000 sec  5.05 MBytes  84.7 Mbits/sec
[  1] 23.5000-24.0000 sec  6.27 MBytes   105 Mbits/sec
[  1] 24.0000-24.5000 sec   366 KBytes  5.99 Mbits/sec
[  1] 24.5000-25.0000 sec  11.4 MBytes   191 Mbits/sec
[  1] 25.0000-25.5000 sec  7.04 MBytes   118 Mbits/sec
[  1] 25.5000-26.0000 sec  7.15 MBytes   120 Mbits/sec
[  1] 26.0000-26.5000 sec  7.39 MBytes   124 Mbits/sec
[  1] 26.5000-27.0000 sec  5.96 MBytes  99.9 Mbits/sec
[  1] 27.0000-27.5000 sec  5.60 MBytes  94.0 Mbits/sec
[  1] 27.5000-28.0000 sec  6.34 MBytes   106 Mbits/sec
[  1] 28.0000-28.5000 sec  6.46 MBytes   108 Mbits/sec
[  1] 28.5000-29.0000 sec  6.15 MBytes   103 Mbits/sec
[  1] 29.0000-29.5000 sec  7.40 MBytes   124 Mbits/sec
[  1] 29.5000-30.0000 sec  5.27 MBytes  88.5 Mbits/sec
[  1] 30.0000-30.5000 sec  6.84 MBytes   115 Mbits/sec
[  1] 30.5000-31.0000 sec  1.17 MBytes  19.6 Mbits/sec
[  1] 31.0000-31.5000 sec  8.19 MBytes   137 Mbits/sec
[  1] 31.5000-32.0000 sec  8.74 MBytes   147 Mbits/sec
[  1] 32.0000-32.5000 sec  3.16 MBytes  53.1 Mbits/sec
[  1] 32.5000-33.0000 sec  7.39 MBytes   124 Mbits/sec
[  1] 33.0000-33.5000 sec  6.46 MBytes   108 Mbits/sec
[  1] 33.5000-34.0000 sec  8.64 MBytes   145 Mbits/sec
[  1] 34.0000-34.5000 sec  6.14 MBytes   103 Mbits/sec
[  1] 34.5000-35.0000 sec  6.90 MBytes   116 Mbits/sec
[  1] 35.0000-35.5000 sec  7.21 MBytes   121 Mbits/sec
[  1] 35.5000-36.0000 sec  6.02 MBytes   101 Mbits/sec
[  1] 36.0000-36.5000 sec  6.77 MBytes   114 Mbits/sec
[  1] 36.5000-37.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 37.0000-37.5000 sec  6.02 MBytes   101 Mbits/sec
[  1] 37.5000-38.0000 sec  3.55 MBytes  59.5 Mbits/sec
[  1] 38.0000-38.5000 sec  6.09 MBytes   102 Mbits/sec
[  1] 38.5000-39.0000 sec  6.58 MBytes   110 Mbits/sec
[  1] 39.0000-39.5000 sec  6.46 MBytes   108 Mbits/sec
[  1] 39.5000-40.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 40.0000-40.5000 sec  6.40 MBytes   107 Mbits/sec
[  1] 40.5000-41.0000 sec  6.83 MBytes   115 Mbits/sec
[  1] 41.0000-41.5000 sec  7.46 MBytes   125 Mbits/sec
[  1] 41.5000-42.0000 sec  3.29 MBytes  55.2 Mbits/sec
[  1] 42.0000-42.5000 sec  7.15 MBytes   120 Mbits/sec
[  1] 42.5000-43.0000 sec  7.40 MBytes   124 Mbits/sec
[  1] 43.0000-43.5000 sec  7.51 MBytes   126 Mbits/sec
[  1] 43.5000-44.0000 sec  6.84 MBytes   115 Mbits/sec
[  1] 44.0000-44.5000 sec  5.90 MBytes  99.0 Mbits/sec
[  1] 44.5000-45.0000 sec  7.40 MBytes   124 Mbits/sec
[  1] 45.0000-45.5000 sec  4.04 MBytes  67.8 Mbits/sec
[  1] 45.5000-46.0000 sec  6.34 MBytes   106 Mbits/sec
[  1] 46.0000-46.5000 sec  7.33 MBytes   123 Mbits/sec
[  1] 46.5000-47.0000 sec  6.03 MBytes   101 Mbits/sec
[  1] 47.0000-47.5000 sec  7.65 MBytes   128 Mbits/sec
[  1] 47.5000-48.0000 sec  4.54 MBytes  76.2 Mbits/sec
[  1] 48.0000-48.5000 sec  6.52 MBytes   109 Mbits/sec
[  1] 48.5000-49.0000 sec  7.89 MBytes   132 Mbits/sec
[  1] 49.0000-49.5000 sec  7.58 MBytes   127 Mbits/sec
[  1] 49.5000-50.0000 sec  6.65 MBytes   112 Mbits/sec
[  1] 50.0000-50.5000 sec  5.15 MBytes  86.4 Mbits/sec
[  1] 50.5000-51.0000 sec  3.91 MBytes  65.6 Mbits/sec
[  1] 51.0000-51.5000 sec  4.23 MBytes  71.0 Mbits/sec
[  1] 51.5000-52.0000 sec   177 KBytes  2.90 Mbits/sec
[  1] 52.0000-52.5000 sec  11.5 MBytes   192 Mbits/sec
[  1] 52.5000-53.0000 sec  6.58 MBytes   110 Mbits/sec
[  1] 53.0000-53.5000 sec  5.34 MBytes  89.5 Mbits/sec
[  1] 53.5000-54.0000 sec  4.41 MBytes  74.0 Mbits/sec
[  1] 54.0000-54.5000 sec  6.03 MBytes   101 Mbits/sec
[  1] 54.5000-55.0000 sec  5.65 MBytes  94.8 Mbits/sec
[  1] 55.0000-55.5000 sec  5.10 MBytes  85.6 Mbits/sec
[  1] 55.5000-56.0000 sec  6.34 MBytes   106 Mbits/sec
[  1] 56.0000-56.5000 sec  6.52 MBytes   109 Mbits/sec
[  1] 56.5000-57.0000 sec  4.72 MBytes  79.1 Mbits/sec
[  1] 57.0000-57.5000 sec  5.60 MBytes  93.9 Mbits/sec
[  1] 57.5000-58.0000 sec  6.59 MBytes   111 Mbits/sec
[  1] 58.0000-58.5000 sec  3.54 MBytes  59.4 Mbits/sec
[  1] 58.5000-59.0000 sec  6.09 MBytes   102 Mbits/sec
[  1] 59.0000-59.5000 sec  4.60 MBytes  77.1 Mbits/sec
[  1] 59.5000-60.0000 sec  6.02 MBytes   101 Mbits/sec
[  1] 60.0000-60.5000 sec  6.41 MBytes   107 Mbits/sec
[  1] 60.5000-61.0000 sec  6.02 MBytes   101 Mbits/sec
[  1] 61.0000-61.5000 sec  6.53 MBytes   110 Mbits/sec
[  1] 61.5000-62.0000 sec  6.77 MBytes   114 Mbits/sec
[  1] 62.0000-62.5000 sec  3.11 MBytes  52.1 Mbits/sec
[  1] 62.5000-63.0000 sec  7.09 MBytes   119 Mbits/sec
[  1] 63.0000-63.5000 sec  5.34 MBytes  89.6 Mbits/sec
[  1] 63.5000-64.0000 sec  7.08 MBytes   119 Mbits/sec
[  1] 64.0000-64.5000 sec  6.28 MBytes   105 Mbits/sec
[  1] 64.5000-65.0000 sec  5.97 MBytes   100 Mbits/sec
[  1] 65.0000-65.5000 sec  6.09 MBytes   102 Mbits/sec
[  1] 65.5000-66.0000 sec  5.59 MBytes  93.8 Mbits/sec
[  1] 66.0000-66.5000 sec  6.09 MBytes   102 Mbits/sec
[  1] 66.5000-67.0000 sec  3.11 MBytes  52.1 Mbits/sec
[  1] 67.0000-67.5000 sec  7.21 MBytes   121 Mbits/sec
[  1] 67.5000-68.0000 sec  7.02 MBytes   118 Mbits/sec
[  1] 68.0000-68.5000 sec  7.90 MBytes   132 Mbits/sec
[  1] 68.5000-69.0000 sec  8.32 MBytes   140 Mbits/sec
[  1] 69.0000-69.5000 sec  2.98 MBytes  50.0 Mbits/sec
[  1] 69.5000-70.0000 sec  8.46 MBytes   142 Mbits/sec
[  1] 70.0000-70.5000 sec  7.45 MBytes   125 Mbits/sec
[  1] 70.5000-71.0000 sec  10.6 MBytes   178 Mbits/sec
