------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.3 port 52534 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/112736)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  1.13 MBytes  9.44 Mbits/sec
[  1] 1.0000-2.0000 sec  1.50 MBytes  12.6 Mbits/sec
[  1] 2.0000-3.0000 sec  1.88 MBytes  15.7 Mbits/sec
[  1] 3.0000-4.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 4.0000-5.0000 sec  3.12 MBytes  26.2 Mbits/sec
[  1] 5.0000-6.0000 sec  3.88 MBytes  32.5 Mbits/sec
[  1] 6.0000-7.0000 sec  4.38 MBytes  36.7 Mbits/sec
[  1] 7.0000-8.0000 sec  5.25 MBytes  44.0 Mbits/sec
[  1] 8.0000-9.0000 sec  4.00 MBytes  33.6 Mbits/sec
[  1] 9.0000-10.0000 sec  5.25 MBytes  44.0 Mbits/sec
[  1] 10.0000-11.0000 sec  5.50 MBytes  46.1 Mbits/sec
[  1] 11.0000-12.0000 sec  5.25 MBytes  44.0 Mbits/sec
[  1] 12.0000-13.0000 sec  6.50 MBytes  54.5 Mbits/sec
[  1] 13.0000-14.0000 sec  5.38 MBytes  45.1 Mbits/sec
[  1] 14.0000-15.0000 sec  6.46 MBytes  54.2 Mbits/sec
[  1] 15.0000-16.0000 sec  7.50 MBytes  62.9 Mbits/sec
[  1] 16.0000-17.0000 sec  8.92 MBytes  74.8 Mbits/sec
[  1] 17.0000-18.0000 sec  7.67 MBytes  64.4 Mbits/sec
[  1] 18.0000-19.0000 sec  6.84 MBytes  57.4 Mbits/sec
[  1] 19.0000-20.0000 sec  6.71 MBytes  56.3 Mbits/sec
[  1] 20.0000-21.0000 sec  3.40 MBytes  28.5 Mbits/sec
[  1] 21.0000-22.0000 sec  8.69 MBytes  72.9 Mbits/sec
[  1] 22.0000-23.0000 sec  4.62 MBytes  38.8 Mbits/sec
[  1] 23.0000-24.0000 sec  7.65 MBytes  64.2 Mbits/sec
[  1] 24.0000-25.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  1] 25.0000-26.0000 sec  3.54 MBytes  29.7 Mbits/sec
[  1] 26.0000-27.0000 sec  5.40 MBytes  45.3 Mbits/sec
[  1] 27.0000-28.0000 sec  6.59 MBytes  55.3 Mbits/sec
[  1] 28.0000-29.0000 sec  5.96 MBytes  50.0 Mbits/sec
[  1] 29.0000-30.0000 sec  6.15 MBytes  51.6 Mbits/sec
[  1] 30.0000-31.0000 sec  7.02 MBytes  58.9 Mbits/sec
[  1] 31.0000-32.0000 sec  5.72 MBytes  48.0 Mbits/sec
[  1] 32.0000-33.0000 sec  6.71 MBytes  56.3 Mbits/sec
[  1] 33.0000-34.0000 sec  6.03 MBytes  50.6 Mbits/sec
[  1] 34.0000-35.0000 sec  5.59 MBytes  46.9 Mbits/sec
[  1] 35.0000-36.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  1] 36.0000-37.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  1] 37.0000-38.0000 sec  6.03 MBytes  50.6 Mbits/sec
[  1] 38.0000-39.0000 sec  5.84 MBytes  49.0 Mbits/sec
[  1] 39.0000-40.0000 sec  5.97 MBytes  50.0 Mbits/sec
[  1] 40.0000-41.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  1] 41.0000-42.0000 sec  6.27 MBytes  52.6 Mbits/sec
[  1] 42.0000-43.0000 sec  5.22 MBytes  43.8 Mbits/sec
[  1] 43.0000-44.0000 sec  5.61 MBytes  47.1 Mbits/sec
[  1] 44.0000-45.0000 sec  5.51 MBytes  46.2 Mbits/sec
[  1] 45.0000-46.0000 sec  6.53 MBytes  54.8 Mbits/sec
[  1] 46.0000-47.0000 sec  6.34 MBytes  53.1 Mbits/sec
[  1] 47.0000-48.0000 sec  5.84 MBytes  49.0 Mbits/sec
[  1] 48.0000-49.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  1] 49.0000-50.0000 sec  6.71 MBytes  56.3 Mbits/sec
[  1] 50.0000-51.0000 sec  6.09 MBytes  51.1 Mbits/sec
[  1] 51.0000-52.0000 sec  4.15 MBytes  34.8 Mbits/sec
[  1] 52.0000-53.0000 sec  7.84 MBytes  65.8 Mbits/sec
[  1] 53.0000-54.0000 sec  3.30 MBytes  27.6 Mbits/sec
[  1] 54.0000-55.0000 sec  5.59 MBytes  46.9 Mbits/sec
[  1] 55.0000-56.0000 sec  5.66 MBytes  47.4 Mbits/sec
[  1] 56.0000-57.0000 sec  6.46 MBytes  54.2 Mbits/sec
[  1] 57.0000-58.0000 sec  6.77 MBytes  56.8 Mbits/sec
[  1] 58.0000-59.0000 sec  6.09 MBytes  51.1 Mbits/sec
[  1] 59.0000-60.0000 sec  6.77 MBytes  56.8 Mbits/sec
[  1] 60.0000-61.0000 sec  6.59 MBytes  55.3 Mbits/sec
[  1] 61.0000-62.0000 sec  6.59 MBytes  55.2 Mbits/sec
[  1] 62.0000-63.0000 sec  6.34 MBytes  53.2 Mbits/sec
[  1] 63.0000-64.0000 sec  6.34 MBytes  53.2 Mbits/sec
[  1] 64.0000-65.0000 sec  6.34 MBytes  53.2 Mbits/sec
[  1] 65.0000-66.0000 sec  6.28 MBytes  52.7 Mbits/sec
[  1] 66.0000-67.0000 sec  6.52 MBytes  54.7 Mbits/sec
[  1] 67.0000-68.0000 sec  6.09 MBytes  51.1 Mbits/sec
[  1] 68.0000-69.0000 sec  6.96 MBytes  58.4 Mbits/sec
[  1] 69.0000-70.0000 sec  5.84 MBytes  49.0 Mbits/sec
[  1] 70.0000-71.0000 sec  6.15 MBytes  51.6 Mbits/sec
[  1] 71.0000-72.0000 sec  4.84 MBytes  40.6 Mbits/sec
[  1] 72.0000-73.0000 sec  7.15 MBytes  60.0 Mbits/sec
[  1] 73.0000-74.0000 sec  4.97 MBytes  41.7 Mbits/sec
[  1] 74.0000-75.0000 sec  2.92 MBytes  24.5 Mbits/sec
[  1] 75.0000-76.0000 sec  5.16 MBytes  43.2 Mbits/sec
[  1] 76.0000-77.0000 sec  7.04 MBytes  59.0 Mbits/sec
[  1] 77.0000-78.0000 sec  5.89 MBytes  49.4 Mbits/sec
[  1] 78.0000-79.0000 sec  5.28 MBytes  44.3 Mbits/sec
[  1] 79.0000-80.0000 sec  5.34 MBytes  44.8 Mbits/sec
[  1] 80.0000-81.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  1] 81.0000-82.0000 sec  5.28 MBytes  44.3 Mbits/sec
[  1] 82.0000-83.0000 sec  2.42 MBytes  20.3 Mbits/sec
[  1] 83.0000-84.0000 sec  4.78 MBytes  40.1 Mbits/sec
[  1] 84.0000-85.0000 sec  4.97 MBytes  41.7 Mbits/sec
[  1] 85.0000-86.0000 sec  5.16 MBytes  43.3 Mbits/sec
[  1] 86.0000-87.0000 sec  5.22 MBytes  43.8 Mbits/sec
[  1] 87.0000-88.0000 sec  4.91 MBytes  41.2 Mbits/sec
[  1] 88.0000-89.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  1] 89.0000-90.0000 sec  4.85 MBytes  40.7 Mbits/sec
[  1] 90.0000-91.0000 sec  5.41 MBytes  45.4 Mbits/sec
[  1] 91.0000-92.0000 sec  5.53 MBytes  46.4 Mbits/sec
[  1] 92.0000-93.0000 sec  5.09 MBytes  42.7 Mbits/sec
[  1] 93.0000-94.0000 sec  5.78 MBytes  48.5 Mbits/sec
[  1] 94.0000-95.0000 sec  5.40 MBytes  45.3 Mbits/sec
[  1] 95.0000-96.0000 sec  5.47 MBytes  45.9 Mbits/sec
[  1] 96.0000-97.0000 sec  5.22 MBytes  43.8 Mbits/sec
[  1] 97.0000-98.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  1] 98.0000-99.0000 sec  6.27 MBytes  52.6 Mbits/sec
[  1] 99.0000-100.0000 sec  6.40 MBytes  53.7 Mbits/sec
[  1] 100.0000-101.0000 sec  6.09 MBytes  51.1 Mbits/sec
[  1] 101.0000-102.0000 sec  2.28 MBytes  19.1 Mbits/sec
[  1] 102.0000-103.0000 sec  9.06 MBytes  76.0 Mbits/sec
[  1] 103.0000-104.0000 sec  6.69 MBytes  56.1 Mbits/sec
[  1] 104.0000-105.0000 sec  7.45 MBytes  62.5 Mbits/sec
[  1] 105.0000-106.0000 sec  7.58 MBytes  63.6 Mbits/sec
[  1] 106.0000-107.0000 sec  7.27 MBytes  61.0 Mbits/sec
[  1] 107.0000-108.0000 sec  7.08 MBytes  59.4 Mbits/sec
[  1] 108.0000-109.0000 sec  7.89 MBytes  66.2 Mbits/sec
[  1] 109.0000-110.0000 sec  9.70 MBytes  81.3 Mbits/sec
[  1] 110.0000-111.0000 sec  6.95 MBytes  58.3 Mbits/sec
[  1] 111.0000-112.0000 sec  6.65 MBytes  55.8 Mbits/sec
[  1] 112.0000-113.0000 sec  7.27 MBytes  61.0 Mbits/sec
[  1] 113.0000-114.0000 sec  7.27 MBytes  61.0 Mbits/sec
[  1] 114.0000-115.0000 sec  6.59 MBytes  55.3 Mbits/sec
[  1] 115.0000-116.0000 sec  3.29 MBytes  27.6 Mbits/sec
[  1] 116.0000-117.0000 sec  6.46 MBytes  54.2 Mbits/sec
[  1] 117.0000-118.0000 sec  6.21 MBytes  52.1 Mbits/sec
[  1] 118.0000-119.0000 sec  7.08 MBytes  59.4 Mbits/sec
[  1] 119.0000-120.0000 sec  6.15 MBytes  51.6 Mbits/sec
[  1] 120.0000-121.9721 sec   110 KBytes   458 Kbits/sec
[  1] 0.0000-121.9721 sec   699 MBytes  48.1 Mbits/sec
