------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 45088 connected with 10.0.0.1 port 5001 (icwnd/mss/irtt=14/1448/58955)
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-0.5000 sec  2.63 MBytes  44.0 Mbits/sec
[  1] 0.5000-1.0000 sec  4.62 MBytes  77.6 Mbits/sec
[  1] 1.0000-1.5000 sec  5.62 MBytes  94.4 Mbits/sec
[  1] 1.5000-2.0000 sec  6.62 MBytes   111 Mbits/sec
[  1] 2.0000-2.5000 sec  11.8 MBytes   197 Mbits/sec
[  1] 2.5000-3.0000 sec  9.75 MBytes   164 Mbits/sec
[  1] 3.0000-3.5000 sec  7.88 MBytes   132 Mbits/sec
[  1] 3.5000-4.0000 sec  9.55 MBytes   160 Mbits/sec
[  1] 4.0000-4.5000 sec  9.57 MBytes   160 Mbits/sec
[  1] 4.5000-5.0000 sec  10.1 MBytes   169 Mbits/sec
[  1] 5.0000-5.5000 sec  9.44 MBytes   158 Mbits/sec
[  1] 5.5000-6.0000 sec  4.66 MBytes  78.2 Mbits/sec
[  1] 6.0000-6.5000 sec  8.33 MBytes   140 Mbits/sec
[  1] 6.5000-7.0000 sec  8.14 MBytes   137 Mbits/sec
[  1] 7.0000-7.5000 sec  6.58 MBytes   110 Mbits/sec
[  1] 7.5000-8.0000 sec  9.58 MBytes   161 Mbits/sec
[  1] 8.0000-8.5000 sec  3.04 MBytes  50.9 Mbits/sec
[  1] 8.5000-9.0000 sec  8.40 MBytes   141 Mbits/sec
[  1] 9.0000-9.5000 sec  9.22 MBytes   155 Mbits/sec
[  1] 9.5000-10.0000 sec  16.1 MBytes   271 Mbits/sec
[  1] 10.0000-10.5000 sec  4.79 MBytes  80.4 Mbits/sec
[  1] 10.5000-11.0000 sec  8.26 MBytes   139 Mbits/sec
[  1] 11.0000-11.5000 sec  5.64 MBytes  94.6 Mbits/sec
[  1] 11.5000-12.0000 sec  7.34 MBytes   123 Mbits/sec
[  1] 12.0000-12.5000 sec  4.84 MBytes  81.2 Mbits/sec
[  1] 12.5000-13.0000 sec  4.59 MBytes  76.9 Mbits/sec
[  1] 13.0000-13.5000 sec  4.66 MBytes  78.2 Mbits/sec
[  1] 13.5000-14.0000 sec  7.35 MBytes   123 Mbits/sec
[  1] 14.0000-14.5000 sec  5.53 MBytes  92.8 Mbits/sec
[  1] 14.5000-15.0000 sec  5.02 MBytes  84.3 Mbits/sec
[  1] 15.0000-15.5000 sec  4.91 MBytes  82.3 Mbits/sec
[  1] 15.5000-16.0000 sec  3.99 MBytes  67.0 Mbits/sec
[  1] 16.0000-16.5000 sec  5.39 MBytes  90.5 Mbits/sec
[  1] 16.5000-17.0000 sec  6.28 MBytes   105 Mbits/sec
[  1] 17.0000-17.5000 sec  7.10 MBytes   119 Mbits/sec
[  1] 17.5000-18.0000 sec  5.10 MBytes  85.5 Mbits/sec
[  1] 18.0000-18.5000 sec  5.28 MBytes  88.6 Mbits/sec
[  1] 18.5000-19.0000 sec  6.07 MBytes   102 Mbits/sec
[  1] 19.0000-19.5000 sec  4.43 MBytes  74.3 Mbits/sec
[  1] 19.5000-20.0000 sec  6.45 MBytes   108 Mbits/sec
[  1] 20.0000-20.5000 sec  6.22 MBytes   104 Mbits/sec
[  1] 20.5000-21.0000 sec  4.97 MBytes  83.3 Mbits/sec
[  1] 21.0000-21.5000 sec  5.59 MBytes  93.8 Mbits/sec
[  1] 21.5000-22.0000 sec   183 KBytes  3.00 Mbits/sec
[  1] 22.0000-22.5000 sec  13.4 MBytes   224 Mbits/sec
[  1] 22.5000-23.0000 sec  6.03 MBytes   101 Mbits/sec
[  1] 23.0000-23.5000 sec  7.59 MBytes   127 Mbits/sec
[  1] 23.5000-24.0000 sec  2.85 MBytes  47.9 Mbits/sec
[  1] 24.0000-24.5000 sec  7.46 MBytes   125 Mbits/sec
[  1] 24.5000-25.0000 sec  7.52 MBytes   126 Mbits/sec
[  1] 25.0000-25.5000 sec  6.96 MBytes   117 Mbits/sec
[  1] 25.5000-26.0000 sec  7.26 MBytes   122 Mbits/sec
[  1] 26.0000-26.5000 sec  7.15 MBytes   120 Mbits/sec
[  1] 26.5000-27.0000 sec  2.16 MBytes  36.3 Mbits/sec
[  1] 27.0000-27.5000 sec  7.53 MBytes   126 Mbits/sec
[  1] 27.5000-28.0000 sec  6.71 MBytes   113 Mbits/sec
[  1] 28.0000-28.5000 sec  5.96 MBytes  99.9 Mbits/sec
[  1] 28.5000-29.0000 sec  7.46 MBytes   125 Mbits/sec
[  1] 29.0000-29.5000 sec  5.59 MBytes  93.8 Mbits/sec
[  1] 29.5000-30.0000 sec  7.22 MBytes   121 Mbits/sec
[  1] 30.0000-30.5000 sec  3.04 MBytes  51.0 Mbits/sec
[  1] 30.5000-31.0000 sec  7.65 MBytes   128 Mbits/sec
[  1] 31.0000-31.5000 sec  6.09 MBytes   102 Mbits/sec
[  1] 31.5000-32.0000 sec  7.84 MBytes   132 Mbits/sec
[  1] 32.0000-32.5000 sec  6.39 MBytes   107 Mbits/sec
[  1] 32.5000-33.0000 sec  4.04 MBytes  67.8 Mbits/sec
[  1] 33.0000-33.5000 sec  7.09 MBytes   119 Mbits/sec
[  1] 33.5000-34.0000 sec  6.40 MBytes   107 Mbits/sec
[  1] 34.0000-34.5000 sec  7.08 MBytes   119 Mbits/sec
[  1] 34.5000-35.0000 sec  7.33 MBytes   123 Mbits/sec
[  1] 35.0000-35.5000 sec  7.09 MBytes   119 Mbits/sec
